Target;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19
1;B;46;A;26;A;2;1;0;3;A;900000;221;8161;1084000;13593;1054170;0.6003;77.5524;0.8303
1;B;33;B;156;A;11;2;3;3;C;900000;208;7675;926000;13590;1149917;0.5648;84.6149;0.9719
1;B;53;A;75;A;6;2;3;3;C;800000;166;8317;988000;11394;751271;0.7299;65.9357;0.8097
1;B;49;A;254;B;5;1;3;3;C;240000;165;2585;282000;10618;100850;0.2435;9.498;0.8511
1;B;45;A;218;A;6;2;2;3;C;480000;122;5749;486000;8727;270985;0.6587;31.0513;0.9877
1;B;46;B;245;B;5;1;3;3;C;220000;155;2150;263000;8727;140234;0.2463;16.069;0.8365
1;A;36;A;69;A;12;1;1;4;C;360000;183;3118;367000;8440;419038;0.3694;49.6491;0.9809
1;B;51;A;112;A;6;1;3;3;C;300000;131;3490;340000;8291;285471;0.4209;34.4314;0.8824
1;A;38;A;91;A;6;2;2;3;C;160000;165;1697;171000;7925;167132;0.2142;21.0892;0.9357
1;B;33;B;7;B;1;2;1;3;C;380000;146;4187;426000;7565;335575;0.5535;44.3589;0.892
1;B;40;A;142;B;3;2;3;3;C;300000;174;3107;316000;7541;322755;0.412;42.8;0.9494
1;B;51;B;66;A;6;1;2;3;C;400000;135;4092;412000;7357;169428;0.5562;23.0295;0.9709
1;B;45;B;273;A;6;2;0;3;C;488000;193;4823;489000;7285;205053;0.662;28.1473;0.998
1;B;49;B;133;B;3;2;2;3;C;400000;208;3718;446000;7277;548759;0.5109;75.4101;0.8969
1;B;29;C;69;B;5;1;1;4;C;150000;129;1859;182000;3537;104263;0.5257;29.4778;0.8242
1;A;50;A;289;A;6;1;3;3;C;500000;218;4251;515000;6901;536397;0.616;77.7274;0.9709
1;B;39;A;164;A;6;2;2;3;C;400000;127;4745;438000;6568;429348;0.7225;65.3697;0.9132
1;B;42;A;155;A;11;2;0;3;C;280000;212;2712;290000;6521;247206;0.4159;37.9092;0.9655
1;B;31;B;68;B;3;2;3;3;C;140000;149;1536;172000;6450;64246;0.2381;9.9606;0.814
1;B;61;A;66;A;6;1;3;3;C;400000;191;3918;479000;6391;427891;0.6131;66.9521;0.8351
1;B;33;A;69;A;11;1;0;3;C;430000;214;4087;500000;6117;412124;0.6682;67.3735;0.86
1;B;35;A;13;B;5;1;0;3;A;500000;187;4210;541000;5849;243378;0.7197;41.6102;0.9242
1;B;41;C;176;B;6;1;2;4;C;300000;207;2646;353000;5689;411611;0.4651;72.3521;0.8499
1;A;35;B;97;A;11;1;1;4;C;120000;230;1127;133000;5479;52689;0.2056;9.6165;0.9023
1;B;51;A;66;A;6;2;3;3;C;300000;120;3844;360000;5373;267188;0.7155;49.7279;0.8333
1;B;40;A;120;A;11;1;3;3;C;240000;136;2779;265000;10530;316871;0.2639;30.0922;0.9057
1;B;35;A;26;A;11;2;1;3;C;450000;226;3632;562000;10492;390219;0.3461;37.1921;0.8007
1;A;53;A;206;B;9;1;0;3;C;154000;158;1596;188000;10001;115944;0.1596;11.5932;0.8191
1;B;58;C;190;A;6;1;3;3;C;100000;126;1177;108000;9891;71045;0.119;7.1828;0.9259
1;B;56;C;45;A;12;1;0;4;C;160000;141;1851;167000;9831;173988;0.1883;17.6979;0.9581
1;A;38;A;105;B;8;2;4;3;C;200000;170;1764;210000;9688;221241;0.1821;22.8366;0.9524
1;B;49;B;84;B;1;2;3;3;B;270000;126;3361;334000;9681;166599;0.3472;17.2089;0.8084
1;B;46;A;75;B;8;1;3;3;C;140000;202;1317;147000;9560;170990;0.1378;17.886;0.9524
1;B;39;A;43;B;5;2;2;4;C;200000;151;2188;232000;9466;129591;0.2312;13.6902;0.8621
1;A;50;A;137;B;9;1;2;3;C;100000;184;1026;120000;9332;90466;0.1099;9.6942;0.8333
1;B;61;B;66;A;6;2;3;3;C;300000;223;2326;315000;9329;202181;0.2493;21.6723;0.9524
1;B;51;A;126;B;5;;0;;A;160000;237;1330;179000;9241;192814;0.144;20.8651;0.8939
1;B;49;B;174;B;1;1;2;3;C;220000;184;1988;265000;9068;115246;0.2192;12.7091;0.8302
1;B;48;A;132;B;8;1;2;3;C;220000;146;2291;242000;8958;226351;0.2558;25.268;0.9091
1;A;43;A;19;A;11;1;2;4;C;259200;220;2436;270200;8678;204536;0.2807;23.5695;0.9593
1;A;53;A;37;A;2;1;2;4;C;200000;151;2126;243000;8484;164457;0.2506;19.3844;0.823
1;B;49;A;194;A;11;1;3;3;C;200000;131;2350;211000;8132;151565;0.289;18.6381;0.9479
1;B;68;A;65;A;6;2;0;3;C;300000;202;2443;337000;8098;394226;0.3017;48.6819;0.8902
1;B;52;B;226;B;5;1;1;3;C;170000;141;1989;202000;7978;152810;0.2493;19.1539;0.8416
1;B;48;A;207;B;5;1;3;3;C;140000;227;1261;170000;7911;110771;0.1594;14.0021;0.8235
1;B;47;A;111;B;1;1;3;3;C;300000;209;2886;374000;7873;337523;0.3666;42.871;0.8021
1;B;49;A;139;B;4;2;3;3;C;190000;154;1816;228000;7848;249520;0.2314;31.7941;0.8333
1;B;49;A;64;A;11;1;3;3;C;252000;198;2190;305000;7705;218214;0.2842;28.3211;0.8262
1;A;39;A;72;A;12;2;2;4;C;240000;153;2648;259000;7666;309855;0.3454;40.4194;0.9266
1;A;29;A;58;A;7;1;0;3;C;200000;127;2459;238000;7653;227566;0.3213;29.7355;0.8403
1;B;43;A;69;A;6;1;2;3;C;170000;230;1554;189000;7647;152810;0.2032;19.983;0.8995
1;B;38;C;113;B;5;2;1;3;C;200000;167;2015;231000;7505;148707;0.2685;19.8144;0.8658
1;B;54;A;226;A;12;2;4;4;C;180000;203;1431;212000;7497;140606;0.1908;18.755;0.8491
1;B;50;A;286;B;1;2;3;3;C;300000;180;2584;368000;7440;127400;0.3473;17.1237;0.8152
1;B;51;A;103;A;12;2;3;2;C;240000;164;2537;267000;7281;148433;0.3485;20.3863;0.8989
1;B;49;A;40;B;1;2;3;3;C;80000;179;821;97000;7196;76879;0.1141;10.6836;0.8247
1;B;32;A;85;A;11;1;1;3;C;180000;217;1681;182000;7152;173141;0.2351;24.2088;0.989
1;B;39;A;105;B;4;1;2;3;C;140000;177;1451;149000;7113;91323;0.2039;12.8389;0.9396
1;B;50;A;122;A;6;;0;;A;130000;175;1090;140000;7003;66842;0.1557;9.5448;0.9286
1;B;36;A;115;B;4;1;2;3;C;112000;189;1093;138000;6971;74701;0.1568;10.716;0.8116
1;A;55;C;88;A;6;1;0;3;C;240000;201;2320;266000;6956;140314;0.3335;20.1717;0.9023
1;A;30;B;88;A;7;1;4;3;C;240000;216;2231;275000;6890;152707;0.3238;22.1636;0.8727
1;A;37;A;184;B;5;1;3;3;C;120000;211;1063;133000;6886;49829;0.1544;7.2363;0.9023
1;A;37;A;57;B;5;1;3;3;C;176000;146;1851;190000;6756;244919;0.274;36.2521;0.9263
1;B;44;C;162;B;5;2;1;3;C;220000;215;1986;224000;6731;202641;0.2951;30.1056;0.9821
1;B;39;A;164;A;6;;0;;A;218064;203;1725;247064;6498;265663;0.2654;40.8838;0.8826
1;B;48;A;164;A;11;2;2;3;C;90000;200;867;106000;6485;118107;0.1337;18.2123;0.8491
1;B;42;A;10;A;6;2;2;3;C;216000;228;1994;247000;6469;87396;0.3083;13.51;0.8745
1;B;43;A;173;A;11;1;3;3;C;90000;143;1035;92000;6096;79774;0.1698;13.0863;0.9783
1;A;40;A;64;A;12;2;0;1;C;240000;152;2653;247000;6006;300321;0.4417;50.0035;0.9717
1;B;42;B;144;B;5;2;1;4;C;180000;155;1864;218000;5986;191342;0.3115;31.9649;0.8257
